Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2015,08,11,14.8,1,N
IDCJAC0010,086338,2015,08,12,14.8,1,N
IDCJAC0010,086338,2015,08,13,13.0,1,N
IDCJAC0010,086338,2015,08,14,15.3,1,N
IDCJAC0010,086338,2015,08,15,14.9,1,N
IDCJAC0010,086338,2015,08,16,17.0,1,N
IDCJAC0010,086338,2015,08,17,12.2,1,N
IDCJAC0010,086338,2015,08,18,11.1,1,N
IDCJAC0010,086338,2015,08,19,12.7,1,N
IDCJAC0010,086338,2015,08,20,17.1,1,N
IDCJAC0010,086338,2015,08,21,18.7,1,N
IDCJAC0010,086338,2015,08,22,18.8,1,N
IDCJAC0010,086338,2015,08,23,16.3,1,N
IDCJAC0010,086338,2015,08,24,14.5,1,N
IDCJAC0010,086338,2015,08,25,14.3,1,N
IDCJAC0010,086338,2015,08,26,14.6,1,N
IDCJAC0010,086338,2015,08,27,11.7,1,N
IDCJAC0010,086338,2015,08,28,13.2,1,N
IDCJAC0010,086338,2015,08,29,11.7,1,N
IDCJAC0010,086338,2015,08,30,12.5,1,N
IDCJAC0010,086338,2015,08,31,13.0,1,N
IDCJAC0010,086338,2015,09,01,16.2,1,Y
IDCJAC0010,086338,2015,09,02,18.8,1,Y
IDCJAC0010,086338,2015,09,03,14.0,1,Y
IDCJAC0010,086338,2015,09,04,13.7,1,Y
IDCJAC0010,086338,2015,09,05,14.0,1,Y
IDCJAC0010,086338,2015,09,06,16.6,1,Y
IDCJAC0010,086338,2015,09,07,13.6,1,Y
IDCJAC0010,086338,2015,09,08,12.8,1,Y
IDCJAC0010,086338,2015,09,09,15.3,1,Y
IDCJAC0010,086338,2015,09,10,15.7,1,Y
IDCJAC0010,086338,2015,09,11,20.1,1,Y
IDCJAC0010,086338,2015,09,12,21.7,1,Y
IDCJAC0010,086338,2015,09,13,25.5,1,Y
IDCJAC0010,086338,2015,09,14,26.7,1,Y
IDCJAC0010,086338,2015,09,15,15.9,1,Y
IDCJAC0010,086338,2015,09,16,14.8,1,Y
IDCJAC0010,086338,2015,09,17,14.3,1,Y
IDCJAC0010,086338,2015,09,18,14.7,1,Y
IDCJAC0010,086338,2015,09,19,21.3,1,Y
IDCJAC0010,086338,2015,09,20,22.9,1,Y
IDCJAC0010,086338,2015,09,21,18.1,1,Y
IDCJAC0010,086338,2015,09,22,12.7,1,Y
IDCJAC0010,086338,2015,09,23,12.6,1,Y
IDCJAC0010,086338,2015,09,24,14.3,1,Y
IDCJAC0010,086338,2015,09,25,19.1,1,Y
IDCJAC0010,086338,2015,09,26,17.9,1,Y
IDCJAC0010,086338,2015,09,27,20.2,1,Y
IDCJAC0010,086338,2015,09,28,21.4,1,Y
IDCJAC0010,086338,2015,09,29,16.9,1,Y
IDCJAC0010,086338,2015,09,30,15.9,1,Y
IDCJAC0010,086338,2015,10,01,21.6,1,N
IDCJAC0010,086338,2015,10,02,28.6,1,N
IDCJAC0010,086338,2015,10,03,31.3,1,N
IDCJAC0010,086338,2015,10,04,24.9,1,N
IDCJAC0010,086338,2015,10,05,34.4,1,N
IDCJAC0010,086338,2015,10,06,35.8,1,N
IDCJAC0010,086338,2015,10,07,16.2,1,N
IDCJAC0010,086338,2015,10,08,18.6,1,N
IDCJAC0010,086338,2015,10,09,29.9,1,N
IDCJAC0010,086338,2015,10,10,29.2,1,N
IDCJAC0010,086338,2015,10,11,19.2,1,N
IDCJAC0010,086338,2015,10,12,16.1,1,N
IDCJAC0010,086338,2015,10,13,17.6,1,N
IDCJAC0010,086338,2015,10,14,28.6,1,N
IDCJAC0010,086338,2015,10,15,34.0,1,N
IDCJAC0010,086338,2015,10,16,23.8,1,N
IDCJAC0010,086338,2015,10,17,20.5,1,N
IDCJAC0010,086338,2015,10,18,17.7,1,N
IDCJAC0010,086338,2015,10,19,26.7,1,N
IDCJAC0010,086338,2015,10,20,31.8,1,N
IDCJAC0010,086338,2015,10,21,18.3,1,N
IDCJAC0010,086338,2015,10,22,16.7,1,N
IDCJAC0010,086338,2015,10,23,16.4,1,N
IDCJAC0010,086338,2015,10,24,19.5,1,N
IDCJAC0010,086338,2015,10,25,31.3,1,N
IDCJAC0010,086338,2015,10,26,15.9,1,N
IDCJAC0010,086338,2015,10,27,23.3,1,N
IDCJAC0010,086338,2015,10,28,26.8,1,N
IDCJAC0010,086338,2015,10,29,26.1,1,N
IDCJAC0010,086338,2015,10,30,27.4,1,N
IDCJAC0010,086338,2015,10,31,25.9,1,N
IDCJAC0010,086338,2015,11,01,26.0,1,N
IDCJAC0010,086338,2015,11,02,16.0,1,N
IDCJAC0010,086338,2015,11,03,17.9,1,N
IDCJAC0010,086338,2015,11,04,27.2,1,N
IDCJAC0010,086338,2015,11,05,24.7,1,N
IDCJAC0010,086338,2015,11,06,18.7,1,N
IDCJAC0010,086338,2015,11,07,16.8,1,N
IDCJAC0010,086338,2015,11,08,24.8,1,N
IDCJAC0010,086338,2015,11,09,33.1,1,N
IDCJAC0010,086338,2015,11,10,16.4,1,N
IDCJAC0010,086338,2015,11,11,20.1,1,N
IDCJAC0010,086338,2015,11,12,21.2,1,N
IDCJAC0010,086338,2015,11,13,18.2,1,N
IDCJAC0010,086338,2015,11,14,18.3,1,N
IDCJAC0010,086338,2015,11,15,18.5,1,N
IDCJAC0010,086338,2015,11,16,26.3,1,N
IDCJAC0010,086338,2015,11,17,33.3,1,N
IDCJAC0010,086338,2015,11,18,29.5,1,N
IDCJAC0010,086338,2015,11,19,31.5,1,N
IDCJAC0010,086338,2015,11,20,19.1,1,N
IDCJAC0010,086338,2015,11,21,17.5,1,N
IDCJAC0010,086338,2015,11,22,20.0,1,N
IDCJAC0010,086338,2015,11,23,20.7,1,N
IDCJAC0010,086338,2015,11,24,24.5,1,N
IDCJAC0010,086338,2015,11,25,33.3,1,N
IDCJAC0010,086338,2015,11,26,17.4,1,N
IDCJAC0010,086338,2015,11,27,18.2,1,N
IDCJAC0010,086338,2015,11,28,20.1,1,N
IDCJAC0010,086338,2015,11,29,20.3,1,N
IDCJAC0010,086338,2015,11,30,32.2,1,N
IDCJAC0010,086338,2015,12,01,24.6,1,N
IDCJAC0010,086338,2015,12,02,17.5,1,N
IDCJAC0010,086338,2015,12,03,21.3,1,N
IDCJAC0010,086338,2015,12,04,30.8,1,N
IDCJAC0010,086338,2015,12,05,25.3,1,N
IDCJAC0010,086338,2015,12,06,29.8,1,N
IDCJAC0010,086338,2015,12,07,27.3,1,N
IDCJAC0010,086338,2015,12,08,35.4,1,N
IDCJAC0010,086338,2015,12,09,24.6,1,N
IDCJAC0010,086338,2015,12,10,26.0,1,N
IDCJAC0010,086338,2015,12,11,19.2,1,N
IDCJAC0010,086338,2015,12,12,18.3,1,N
IDCJAC0010,086338,2015,12,13,28.3,1,N
IDCJAC0010,086338,2015,12,14,22.7,1,N
IDCJAC0010,086338,2015,12,15,24.6,1,N
IDCJAC0010,086338,2015,12,16,27.5,1,N
IDCJAC0010,086338,2015,12,17,37.2,1,N
IDCJAC0010,086338,2015,12,18,35.4,1,N
IDCJAC0010,086338,2015,12,19,41.2,1,N
IDCJAC0010,086338,2015,12,20,37.8,1,N
IDCJAC0010,086338,2015,12,21,20.2,1,N
IDCJAC0010,086338,2015,12,22,22.8,1,N
IDCJAC0010,086338,2015,12,23,26.0,1,N
IDCJAC0010,086338,2015,12,24,34.6,1,N
IDCJAC0010,086338,2015,12,25,34.1,1,N
IDCJAC0010,086338,2015,12,26,20.0,1,N
IDCJAC0010,086338,2015,12,27,19.4,1,N
IDCJAC0010,086338,2015,12,28,20.8,1,N
IDCJAC0010,086338,2015,12,29,23.9,1,N
IDCJAC0010,086338,2015,12,30,34.7,1,N
IDCJAC0010,086338,2015,12,31,39.7,1,N
